Line#,Date,"Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap","Temperature (RXW-GP4 21474793:21124502-6), *C, Soap","Temperature (RXW-GP4 21474793:21124502-10), *C, Soap","Temperature (RXW-GP4 21474793:21124502-9), *C, Soap","Water Content (RXW-GP4 21474793:21124502-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-7), *C, Soap","Water Content (RXW-GP4 21474793:21124502-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-11), *C, Soap","Water Content (RXW-GP4 21474793:21124502-4), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124502-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-5), *C, Soap","Temperature (RXW-GP4 21474793:21124502-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-6), *C, Soap","Water Content (RXW-GP4 21474793:21124506-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-9), *C, Soap","Temperature (RXW-GP4 21474793:21124506-5), *C, Soap","Water Content (RXW-GP4 21474793:21124506-1), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-7), *C, Soap","Temperature (RXW-GP4 21474793:21124506-10), *C, Soap","Temperature (RXW-GP4 21474793:21124506-11), *C, Soap"
548,01/11/24 13:25:00,0.414,7.1,0.472,6.6,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.570,6.0,0.326,6.5,1.3,7.3,2.6,0.302,0.359,3.8,4.8,1.8,6.1,5.1,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.000,0.0,2.0,0.533,0.648,0.000,4.0,0.0,0.0
549,01/11/24 13:30:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.565,6.0,0.325,6.5,1.3,7.3,2.5,0.302,0.359,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
550,01/11/24 13:35:00,0.414,7.1,0.472,6.6,2.2,0.343,4.8,0.392,3.7,1.6,5.6,0.562,6.0,0.325,6.5,1.2,7.3,2.5,0.302,0.359,3.8,4.7,1.8,6.1,5.1,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
551,01/11/24 13:40:00,0.414,7.1,0.472,6.6,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.557,6.0,0.325,6.3,1.3,7.3,2.5,0.301,0.359,3.8,4.7,1.8,6.1,5.1,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
552,01/11/24 13:45:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.552,6.0,0.324,6.5,1.2,7.3,2.6,0.301,0.359,3.8,4.7,1.8,6.1,5.1,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.000,0.0,2.0,0.533,0.648,0.000,4.0,0.0,0.0
553,01/11/24 13:50:00,0.414,7.1,0.472,6.5,2.2,0.343,4.8,0.390,3.7,1.6,5.6,0.547,6.0,0.324,6.5,1.3,7.3,2.5,0.301,0.357,3.8,4.7,1.8,6.1,5.1,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
554,01/11/24 13:55:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.392,3.7,1.6,5.6,0.542,6.0,0.324,6.5,1.2,7.3,2.5,0.301,0.357,3.8,4.7,1.8,6.1,5.0,0.277,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
555,01/11/24 14:00:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.392,3.7,1.6,5.6,0.537,6.0,0.324,6.5,1.2,7.3,2.5,0.301,0.357,3.8,4.7,1.8,6.1,5.0,0.277,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
556,01/11/24 14:05:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.532,6.0,0.324,6.5,1.2,7.3,2.6,0.301,0.357,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
557,01/11/24 14:10:00,0.414,7.1,0.472,6.5,2.2,0.343,4.8,0.390,3.7,1.6,5.6,0.525,6.0,0.323,6.3,1.3,7.3,2.5,0.301,0.357,3.8,4.8,1.8,6.1,5.1,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.0,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
558,01/11/24 14:15:00,0.414,7.1,0.472,6.6,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.522,6.0,0.323,6.5,1.2,7.3,2.6,0.301,0.357,3.8,4.7,1.8,6.1,5.1,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
559,01/11/24 14:20:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.517,6.0,0.323,6.5,1.2,7.3,2.6,0.301,0.357,3.8,4.8,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
560,01/11/24 14:25:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.512,6.0,0.323,6.5,1.3,7.3,2.6,0.301,0.357,3.8,4.8,1.8,6.1,5.1,0.277,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
561,01/11/24 14:30:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.507,6.0,0.323,6.5,1.3,7.3,2.5,0.301,0.357,3.8,4.7,1.8,6.1,5.0,0.277,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
562,01/11/24 14:35:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.502,6.0,0.323,6.5,1.3,7.3,2.5,0.301,0.357,3.8,4.7,1.8,6.1,5.1,0.277,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
563,01/11/24 14:40:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.497,6.0,0.322,6.5,1.3,7.3,2.5,0.301,0.357,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
564,01/11/24 14:45:00,0.414,7.1,0.472,6.5,2.2,0.343,4.7,0.390,3.6,1.6,5.6,0.492,6.0,0.322,6.3,1.3,7.1,2.5,0.301,0.357,3.8,4.7,1.8,6.1,5.1,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
565,01/11/24 14:50:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.489,6.0,0.322,6.3,1.3,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.1,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
566,01/11/24 14:55:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.484,6.0,0.322,6.5,1.3,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.000,0.0,2.0,0.533,0.648,0.000,4.0,0.0,0.0
567,01/11/24 15:00:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.392,3.6,1.6,5.6,0.479,6.0,0.322,6.5,1.2,7.1,2.6,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,3.8,6.5,7.1
568,01/11/24 15:05:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.474,6.0,0.322,6.5,1.2,7.3,2.5,0.301,0.355,3.8,4.8,1.8,6.1,5.1,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.534,0.648,0.637,4.0,6.5,7.1
569,01/11/24 15:10:00,0.414,7.1,0.472,6.6,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.470,6.0,0.321,6.5,1.3,7.1,2.6,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.534,0.648,0.637,4.0,6.5,7.1
570,01/11/24 15:15:00,0.414,7.1,0.472,6.6,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.465,6.0,0.321,6.5,1.2,7.3,2.6,0.301,0.355,3.8,4.8,1.8,6.1,5.0,0.277,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.534,0.648,0.637,4.0,6.5,7.1
571,01/11/24 15:20:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.460,6.0,0.321,6.5,1.3,7.1,2.6,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.534,0.648,0.637,4.0,6.5,7.1
572,01/11/24 15:25:00,0.414,7.1,0.472,6.6,2.2,0.343,4.8,0.392,3.7,1.6,5.6,0.457,6.0,0.321,6.5,1.3,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.277,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.534,0.648,0.637,4.0,6.5,7.1
573,01/11/24 15:30:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.455,6.0,0.321,6.5,1.3,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.534,0.648,0.637,4.0,6.5,7.1
574,01/11/24 15:35:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.452,6.0,0.320,6.3,1.3,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.1,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.000,0.0,2.0,0.534,0.648,0.000,4.0,0.0,0.0
575,01/11/24 15:40:00,0.414,7.1,0.472,6.5,2.2,0.343,4.8,0.390,3.6,1.6,5.6,0.450,6.0,0.320,6.5,1.3,7.3,2.6,0.301,0.355,3.8,4.8,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.0,2.8,0.639,5.6,2.0,0.534,0.648,0.637,4.0,6.5,7.1
576,01/11/24 15:45:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.447,6.0,0.320,6.3,1.3,7.3,2.6,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.534,0.648,0.637,4.0,6.5,7.1
577,01/11/24 15:50:00,0.414,7.1,0.472,6.5,2.3,0.343,4.7,0.390,3.7,1.6,5.6,0.445,6.0,0.320,6.5,1.3,7.1,2.6,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.534,0.648,0.637,4.0,6.5,7.1
578,01/11/24 15:55:00,0.414,7.1,0.472,6.5,2.2,0.343,4.8,0.392,3.6,1.6,5.6,0.442,6.0,0.320,6.5,1.3,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.277,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.534,0.648,0.637,4.0,6.5,7.1
579,01/11/24 16:00:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.442,6.0,0.319,6.5,1.2,7.3,2.6,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.534,0.648,0.637,4.0,6.5,7.1
580,01/11/24 16:05:00,0.414,7.1,0.472,6.5,2.2,0.343,4.8,0.390,3.6,1.6,5.6,0.440,6.0,0.319,6.3,1.3,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.0,2.8,0.639,5.6,2.0,0.534,0.648,0.637,4.0,6.5,7.1
581,01/11/24 16:10:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.439,6.0,0.319,6.5,1.3,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.1,0.277,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.000,0.0,2.0,0.534,0.648,0.000,4.0,0.0,0.0
582,01/11/24 16:15:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.437,6.0,0.318,6.3,1.3,7.1,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.1,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.000,0.0,2.0,0.534,0.648,0.000,4.0,0.0,0.0
583,01/11/24 16:20:00,0.414,7.1,0.472,6.5,2.2,0.343,4.8,0.390,3.6,1.6,5.6,0.437,6.0,0.318,6.5,1.3,7.1,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.1,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
584,01/11/24 16:25:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.435,6.0,0.318,6.3,1.3,7.1,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.277,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
585,01/11/24 16:30:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.434,6.0,0.317,6.5,1.2,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.0,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
586,01/11/24 16:35:00,0.414,7.1,0.472,6.5,2.3,0.343,4.7,0.390,3.7,1.6,5.6,0.432,6.0,0.317,6.5,1.3,7.1,2.5,0.301,0.355,3.8,4.8,1.8,6.3,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
587,01/11/24 16:40:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.432,6.0,0.317,6.3,1.3,7.3,2.6,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.533,0.648,0.637,4.0,6.5,7.1
588,01/11/24 16:45:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.430,6.0,0.317,6.3,1.2,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.0,2.8,0.000,0.0,2.0,0.532,0.648,0.000,4.0,0.0,0.0
589,01/11/24 16:50:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.429,6.0,0.316,6.5,1.2,7.3,2.6,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.0,2.8,0.639,5.6,2.0,0.532,0.648,0.637,4.0,6.5,7.1
590,01/11/24 16:55:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.427,6.0,0.316,6.5,1.3,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.532,0.648,0.637,4.0,6.5,7.1
591,01/11/24 17:00:00,0.414,7.1,0.472,6.5,2.2,0.343,4.8,0.390,3.7,1.6,5.6,0.425,6.0,0.316,6.3,1.3,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.0,2.8,0.639,5.6,2.0,0.532,0.648,0.637,4.0,6.5,7.1
592,01/11/24 17:05:00,0.414,7.1,0.472,6.5,2.2,0.343,4.8,0.390,3.7,1.6,5.6,0.425,6.0,0.316,6.5,1.3,7.1,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.532,0.648,0.637,4.0,6.5,7.1
593,01/11/24 17:10:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.5,0.422,5.8,0.315,6.5,1.3,7.1,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.277,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.532,0.648,0.637,4.0,6.5,7.1
594,01/11/24 17:15:00,0.414,7.1,0.472,6.5,2.2,0.343,4.8,0.390,3.7,1.6,5.6,0.420,6.0,0.315,6.3,1.3,7.3,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.532,0.648,0.637,4.0,6.5,7.1
595,01/11/24 17:20:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.420,6.0,0.315,6.5,1.3,7.3,2.6,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.0,2.8,0.639,5.6,2.0,0.531,0.648,0.637,4.0,6.5,7.1
596,01/11/24 17:25:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.419,5.8,0.315,6.3,1.3,7.1,2.5,0.301,0.355,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.531,0.648,0.637,4.0,6.5,7.1
597,01/11/24 17:30:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.417,6.0,0.314,6.3,1.3,7.3,2.5,0.301,0.354,3.8,4.7,1.8,6.1,5.1,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.0,2.8,0.000,0.0,2.0,0.531,0.648,0.000,4.0,0.0,0.0
598,01/11/24 17:35:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.392,3.6,1.6,5.6,0.415,6.0,0.314,6.3,1.3,7.3,2.5,0.301,0.354,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.530,0.648,0.637,4.0,6.5,7.1
599,01/11/24 17:40:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.6,0.415,6.0,0.314,6.5,1.3,7.3,2.5,0.301,0.354,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.0,2.8,0.639,5.6,2.0,0.530,0.648,0.637,4.0,6.5,7.1
600,01/11/24 17:45:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.412,6.0,0.314,6.5,1.3,7.3,2.5,0.300,0.355,3.8,4.7,1.8,6.1,5.0,0.277,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.530,0.648,0.637,4.0,6.5,7.1
601,01/11/24 17:50:00,0.414,7.1,0.472,6.5,2.2,0.343,4.8,0.390,3.7,1.7,5.6,0.410,6.0,0.314,6.3,1.3,7.3,2.5,0.300,0.354,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.529,0.648,0.637,3.8,6.5,7.1
602,01/11/24 17:55:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.410,6.0,0.313,6.3,1.3,7.3,2.5,0.300,0.352,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.529,0.648,0.637,4.0,6.5,7.1
603,01/11/24 18:00:00,0.414,7.1,0.472,6.5,2.2,0.343,4.8,0.390,3.6,1.6,5.6,0.410,6.0,0.313,6.3,1.3,7.3,2.5,0.300,0.352,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.000,0.0,2.0,0.529,0.648,0.000,4.0,0.0,0.0
604,01/11/24 18:05:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.392,3.7,1.6,5.6,0.410,6.0,0.313,6.5,1.3,7.3,2.6,0.300,0.354,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.000,0.0,2.0,0.528,0.648,0.000,4.0,0.0,0.0
605,01/11/24 18:10:00,0.414,7.1,0.472,6.5,2.3,0.343,4.7,0.390,3.7,1.6,5.6,0.409,6.0,0.313,6.3,1.3,7.1,2.6,0.300,0.352,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,6.8,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.528,0.648,0.637,4.0,6.5,7.1
606,01/11/24 18:15:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.6,5.6,0.409,6.0,0.313,6.5,1.3,7.3,2.5,0.300,0.352,3.8,4.8,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.527,0.648,0.637,4.0,6.5,7.1
607,01/11/24 18:20:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.6,1.6,5.5,0.409,6.0,0.313,6.5,1.3,7.1,2.6,0.300,0.352,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.525,0.648,0.637,4.0,6.5,7.1
608,01/11/24 18:25:00,0.414,7.0,0.472,6.5,2.2,0.343,4.8,0.390,3.7,1.6,5.6,0.409,6.0,0.312,6.3,1.3,7.1,2.5,0.300,0.352,3.8,4.7,1.8,6.1,5.0,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.1,5.0,2.8,0.639,5.6,2.0,0.524,0.648,0.637,4.0,6.5,7.1
609,01/11/24 18:30:00,0.414,7.1,0.472,6.5,2.3,0.343,4.7,0.390,3.6,1.6,5.5,0.410,5.8,0.312,6.3,1.3,7.1,2.5,0.300,0.352,3.8,4.7,1.8,6.1,5.1,0.278,2.7,0.161,7.0,0.340,0.220,1.5,4.0,5.1,2.8,0.639,5.6,2.1,0.523,0.648,0.637,4.0,6.5,7.1
610,01/11/24 18:35:00,0.414,7.1,0.472,6.5,2.2,0.343,4.8,0.390,3.6,1.6,5.6,0.410,6.0,0.312,6.3,1.3,7.3,2.5,0.300,0.352,3.8,4.7,1.8,6.1,5.0,0.277,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.8,0.639,5.6,2.0,0.523,0.648,0.637,4.0,6.5,7.1
611,01/11/24 18:40:00,0.414,7.0,0.472,6.5,2.3,0.343,4.8,0.392,3.6,1.6,5.6,0.410,6.0,0.312,6.3,1.3,7.3,2.5,0.300,0.352,3.8,4.8,1.8,6.1,5.0,0.278,2.8,0.161,6.8,0.340,0.220,1.5,4.1,5.0,2.8,0.000,0.0,2.0,0.522,0.648,0.000,4.0,0.0,0.0
612,01/11/24 18:45:00,0.414,7.1,0.472,6.5,2.3,0.343,4.8,0.390,3.7,1.7,5.6,0.410,6.0,0.312,6.3,1.2,7.1,2.6,0.300,0.352,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.0,2.8,0.000,0.0,2.0,0.521,0.648,0.000,4.0,0.0,0.0
613,01/11/24 18:50:00,0.414,7.0,0.472,6.5,2.3,0.343,4.7,0.390,3.7,1.6,5.6,0.410,6.0,0.312,6.3,1.2,7.1,2.5,0.300,0.352,3.8,4.7,1.8,6.1,5.0,0.278,2.8,0.161,7.0,0.340,0.220,1.5,4.1,5.1,2.7,0.000,0.0,2.0,0.521,0.648,0.000,4.0,0.0,0.0
